Time,Total[yd],Carry[yd],Height[m],Smash Factor,Club Speed[mph],Ball Speed[mph],Launch Angle,Launch Direction,Type
2024/08/23 07:56,98,67,0.8,1.23,76.5,94.0,2.0,R17,
2024/08/23 07:55,151,136,18,1.33,76.0,101,17,R12,
2024/08/23 07:54,127,116,17,1.35,66.9,90.3,19,R14,
2024/08/23 07:54,142,125,13,1.40,68.9,96.3,14,R12,
2024/08/23 07:53,131,114,12,1.40,65.0,90.9,14,R10,
2024/08/23 07:52,144,131,20,1.51,65.2,98.7,19,R17,
2024/08/23 07:51,148,134,18,1.40,71.3,100,17,R17,
2024/08/23 07:50,129,118,18,1.35,67.7,91.4,19,R14,
2024/08/23 07:50,91,77,7.4,1.21,58.8,71.1,15,R11,
2024/08/23 07:48,86,71,5.8,1.16,59.3,68.8,13,R10,
2024/08/23 07:48,102,82,5.3,1.47,52.9,77.9,10,R6.3,
2024/08/23 07:47,90,69,3.3,1.20,62.2,74.4,7.9,R7.1,
2024/08/23 07:46,104,88,7.6,1.27,61.2,77.8,13,R10,
2024/08/23 07:46,106,80,3.0,1.34,62.9,84.4,6.0,R7.7,
2024/08/23 07:45,109,85,4.1,1.31,63.7,83.6,7.5,R13,
2024/08/23 07:45,105,81,3.7,1.46,56.3,82.4,7.1,R2.8,
2024/08/23 07:44,118,99,7.4,1.35,63.5,85.5,11,R10,
2024/08/23 07:43,110,90,6.0,1.30,62.7,81.8,10,R8.6,
2024/08/23 07:42,125,107,9.5,1.42,62.3,88.5,12,R16,
2024/08/23 07:41,16,16,7.5,1.05,31.5,33.1,52,R26,
2024/08/23 07:39,54,44,4.5,0.84,60.4,50.8,17,R15,
2024/08/23 07:39,91,66,2.1,1.34,58.3,78.1,5.5,R11,
2024/08/23 07:38,99,76,3.3,1.43,55.6,79.5,7.0,R8.4,
2024/08/23 07:37,67,52,3.2,1.20,50.2,60.0,11,R11,
2024/08/23 07:36,78,56,2.0,1.36,51.1,69.7,6.6,R8.9,
2024/08/23 07:35,104,84,5.3,1.40,56.8,79.3,10,R11,
2024/08/23 07:35,63,39,0.7,1.16,60.3,69.7,3.3,R14,
2024/08/23 07:34,56,42,2.4,0.90,60.0,54.2,11,R13,
2024/08/23 07:34,68,52,2.9,1.10,55.6,61.2,10,R14,
2024/08/23 07:32,112,91,6.2,1.42,58.1,82.6,10,R0.8,
2024/08/23 07:32,127,105,7.0,1.42,63.3,90.2,10,R4.7,
2024/08/23 07:31,44,31,1.8,1.07,43.4,46.5,11,R5.8,
2024/08/23 07:31,69,53,3.2,1.36,44.9,61.1,11,R4.7,
2024/08/23 07:31,77,60,3.7,1.44,45.4,65.4,10,R4.1,
2024/08/23 07:30,33,27,2.8,0.81,46.6,37.8,20,R7.7,
2024/08/23 07:30,95,75,4.2,1.52,49.4,75.2,9.2,R5.2,
2024/08/23 07:29,101,81,4.9,1.40,55.6,77.9,10,R7.5,
2024/08/23 07:29,42,22,0.3,1.26,46.8,58.8,2.7,R5.4,
2024/08/23 07:28,91,73,4.8,1.41,51.3,72.3,11,R5.8,
2024/08/23 07:28,93,77,6.5,1.35,53.7,72.2,13,R8.4,
2024/08/23 07:26,36,14,0.1,0.90,70.8,63.9,1.1,R6.5,
2024/08/23 07:25,105,85,5.5,1.27,62.6,79.3,10,R9.0,
2024/08/23 07:25,85,67,4.1,1.22,57.3,69.8,10,R6.3,
2024/08/23 07:24,14,10,0.8,0.34,68.5,23.3,18,L4.2,
2024/08/23 07:24,50,39,2.9,0.80,61.7,49.4,14,R6.8,
2024/08/23 07:19,5.9,5.5,0.8,0.25,64.4,15.8,29,R1.0,
2024/08/23 07:18,90,70,3.7,1.40,52.3,73.4,8.7,L0.1,
2024/08/23 07:18,78,62,4.3,1.31,49.5,65.0,12,R7.5,
2024/08/23 07:17,83,63,3.1,1.27,54.8,69.9,8.5,R13,
2024/08/23 07:16,106,84,4.5,1.43,57.2,81.6,8.4,R4.3,
2024/08/23 07:16,115,95,7.1,1.33,63.1,83.9,11,R8.8,
